"","state","householdincome","unemployed","metropop","highschoolpop","noncitizen","whitepoverty","giniindex","nonwhite","trumpvoter","incidents2016","pop2016","incidents201015","pop201015","hrate2016","hrate201015"
"Alabama","Alabama",42278,0.06,0.64,0.821,0.02,0.12,0.472,0.35,0.63,14,1013839,22,1564020.83333333,1.3808898651561,1.4066308792775
"Alaska","Alaska",67629,0.064,0.63,0.914,0.04,0.06,0.422,0.42,0.53,11,738566,7,518110.833333333,1.48937264916067,1.35106227271192
"Arizona","Arizona",49254,0.063,0.9,0.842,0.1,0.09,0.455,0.49,0.5,213,6361910,217,6323779.33333333,3.34805113558664,3.43149228588938
"Arkansas","Arkansas",44922,0.052,0.69,0.824,0.04,0.12,0.458,0.26,0.6,12,2853645,24,2755275.5,0.420514815262585,0.871056270053575
"California","California",60487,0.059,0.97,0.806,0.13,0.09,0.471,0.61,0.33,931,39242633,914,38181706.1666667,2.37241981189183,2.39381654662132
"Colorado","Colorado",60940,0.04,0.8,0.893,0.06,0.07,0.457,0.31,0.44,104,5519770,143,5147999.33333333,1.88413647670102,2.77777813750041
"Connecticut","Connecticut",70161,0.052,0.94,0.886,0.06,0.06,0.486,0.3,0.41,106,3576452,133,3511806.66666667,2.96383119359633,3.78722442959085
"Delaware","Delaware",57522,0.049,0.9,0.874,0.05,0.08,0.44,0.37,0.42,15,952065,14,921576.333333333,1.57552267964897,1.51913623360554
"District of Columbia","District of Columbia",68277,0.067,1,0.871,0.11,0.04,0.532,0.63,0.04,115,681170,70,638268.666666667,16.8827165024884,10.9671684755531
"Florida","Florida",46140,0.052,0.96,0.853,0.09,0.11,0.474,0.46,0.49,96,8988095,103,16913655.8333333,1.06807949849217,0.60897538069214
"Georgia","Georgia",49555,0.058,0.82,0.839,0.08,0.09,0.468,0.48,0.51,39,8216137,33,7994013.83333333,0.474675629191675,0.412808892854263
"Idaho","Idaho",53438,0.042,0.7,0.884,0.04,0.11,0.433,0.16,0.59,27,1683140,31,1605446,1.60414463443326,1.93092760516392
"Illinois","Illinois",54916,0.054,0.9,0.864,0.07,0.07,0.465,0.37,0.39,111,12373460,92,11592474.1666667,0.897081333757898,0.793618330973205
"Indiana","Indiana",48060,0.044,0.79,0.866,0.03,0.12,0.44,0.2,0.57,78,2874580,70,3909987,2.71343987643412,1.79028728228508
"Iowa","Iowa",57810,0.036,0.6,0.914,0.03,0.09,0.427,0.15,0.52,17,3113786,11,2974496.83333333,0.545959163539177,0.369810445811535
"Kansas","Kansas",53444,0.044,0.64,0.897,0.04,0.11,0.445,0.25,0.57,49,2591338,68,2527676.5,1.89091504080132,2.69021767619393
"Kentucky","Kentucky",42786,0.05,0.56,0.817,0.03,0.17,0.466,0.15,0.63,206,4427530,174,3926760.66666667,4.65270703981678,4.43113331242834
"Louisiana","Louisiana",42406,0.06,0.81,0.822,0.02,0.12,0.475,0.42,0.58,26,3560451,15,2822295.66666667,0.730244567331498,0.531482231899398
"Maine","Maine",51710,0.044,0.54,0.902,NA,0.12,0.437,0.09,0.45,40,1331479,43,1328910,3.00417806063783,3.23573454936753
"Maryland","Maryland",76165,0.051,0.97,0.89,0.08,0.06,0.443,0.5,0.35,37,6016447,45,5899671,0.614980901518787,0.76275439766048
"Massachusetts","Massachusetts",63151,0.046,0.97,0.89,0.09,0.08,0.475,0.27,0.34,391,6637616,329,6323839.83333333,5.89066918001885,5.20253530561956
"Michigan","Michigan",52005,0.05,0.87,0.879,0.04,0.09,0.451,0.24,0.48,399,9847710,369,9706749.5,4.05170339094064,3.80147854850895
"Minnesota","Minnesota",67244,0.038,0.75,0.915,0.05,0.05,0.44,0.18,0.45,119,5178985,116,4322570,2.29774753161092,2.68358869839008
"Mississippi","Mississippi",35521,0.061,0.45,0.804,NA,0.14,0.468,0.44,0.58,7,585454,6,976931.333333333,1.19565328787573,0.614168037739943
"Missouri","Missouri",56630,0.053,0.78,0.868,0.02,0.07,0.455,0.2,0.57,88,6089857,107,6031699.5,1.44502572063679,1.77396105359692
"Montana","Montana",51102,0.041,0.34,0.908,0.01,0.1,0.435,0.1,0.57,20,1042048,33,997016.5,1.91929738361381,3.3098750120986
"Nebraska","Nebraska",56870,0.029,0.6,0.898,0.05,0.07,0.432,0.21,0.6,31,1846626,35,1463756,1.67873732959462,2.39110890066377
"Nevada","Nevada",49875,0.067,0.87,0.839,0.1,0.08,0.448,0.5,0.46,41,2940058,62,2505575.83333333,1.39453031198704,2.47448108235931
"New Hampshire","New Hampshire",73397,0.034,0.63,0.913,0.03,0.06,0.425,0.09,0.47,28,1275170,22,1200414.16666667,2.19578565995122,1.83270079701659
"New Jersey","New Jersey",65243,0.056,1,0.874,0.11,0.07,0.464,0.44,0.42,282,8942857,426,8880218.8,3.15335468296094,4.79717909653307
"New Mexico","New Mexico",46686,0.068,0.69,0.828,0.06,0.1,0.464,0.62,0.4,26,576958,15,751385.666666667,4.50639387962382,1.99631170322209
"New York","New York",54310,0.051,0.94,0.847,0.1,0.1,0.499,0.42,0.37,595,19738790,603,19460372.6666667,3.01436916852553,3.09860458650346
"North Carolina","North Carolina",46784,0.058,0.76,0.843,0.05,0.1,0.464,0.38,0.51,148,10145637,124,9795242.5,1.45875512794317,1.26592067526659
"North Dakota","North Dakota",60730,0.028,0.5,0.901,0.03,0.09,0.433,0.15,0.64,8,757493,34,705473.666666667,1.05611537004302,4.81945699839493
"Ohio","Ohio",49644,0.045,0.75,0.876,0.03,0.1,0.452,0.21,0.52,442,9573452,320,9876370,4.61693441404417,3.24005682249652
"Oklahoma","Oklahoma",47199,0.044,0.59,0.856,0.04,0.1,0.454,0.35,0.65,33,3869095,35,3415550.5,0.852912632023768,1.02472500406596
"Oregon","Oregon",58875,0.062,0.87,0.891,0.07,0.1,0.449,0.26,0.41,104,3547910,78,2206397,2.93130321795085,3.53517522005333
"Pennsylvania","Pennsylvania",55173,0.053,0.87,0.879,0.03,0.09,0.461,0.24,0.49,61,12644372,54,12609375.8333333,0.482428071556262,0.428252759801552
"Rhode Island","Rhode Island",58633,0.054,1,0.847,0.08,0.08,0.467,0.28,0.4,12,1056426,14,1052509,1.13590540179814,1.3301548965377
"South Carolina","South Carolina",44929,0.057,0.79,0.836,0.03,0.09,0.461,0.36,0.55,23,4936962,91,4732864.16666667,0.465873547335386,1.92272579130643
"South Dakota","South Dakota",53053,0.035,0.51,0.899,NA,0.08,0.442,0.17,0.62,18,787337,25,756266.666666667,2.28618749023607,3.30571227080395
"Tennessee","Tennessee",43716,0.057,0.82,0.831,0.04,0.13,0.468,0.27,0.61,142,6651194,203,6470305.66666667,2.13495501709919,3.13740973700521
"Texas","Texas",53875,0.042,0.92,0.799,0.11,0.08,0.469,0.56,0.53,178,27862596,141,22469264.8333333,0.638849301766425,0.627523868919936
"Utah","Utah",63383,0.036,0.82,0.904,0.04,0.08,0.419,0.19,0.47,66,3014190,68,2845072.33333333,2.18964298866362,2.39009740467055
"Vermont","Vermont",60708,0.037,0.35,0.91,0.01,0.1,0.444,0.06,0.33,25,624594,12,622174.5,4.00260008901783,1.92871935445763
"Virginia","Virginia",66155,0.043,0.89,0.866,0.06,0.07,0.459,0.38,0.45,122,8411424,141,8206294.5,1.45040839696109,1.71819327224973
"Washington","Washington",59068,0.052,0.86,0.897,0.08,0.09,0.441,0.31,0.38,387,7282106,265,6935503.5,5.3143966868925,3.8209194184676
"West Virginia","West Virginia",39552,0.073,0.55,0.828,0.01,0.14,0.451,0.07,0.69,41,1621366,34,1658308.66666667,2.52873194577905,2.05028175293462
"Wisconsin","Wisconsin",58080,0.043,0.69,0.898,0.03,0.09,0.43,0.22,0.48,34,5652781,64,5652975.66666667,0.601473858619324,1.13214709869321
"Wyoming","Wyoming",55690,0.04,0.31,0.918,0.02,0.09,0.423,0.15,0.7,3,556446,2,566236.833333333,0.539135873022719,0.353209095958375
